2026-03-20 13:20:22,718 [MainThread] INFO: Server started on 127.0.0.1:8080
2026-03-20 13:20:27,720 [Thread-1 (handle_client)] INFO: Connected by ('127.0.0.1', 40458)
2026-03-20 13:20:27,729 [Thread-1 (handle_client)] INFO: Close connection from ('127.0.0.1', 40458)
2026-03-20 13:20:27,812 [Thread-2 (handle_client)] INFO: Connected by ('127.0.0.1', 40468)
2026-03-20 13:20:27,813 [Thread-2 (handle_client)] INFO: Close connection from ('127.0.0.1', 40468)
2026-03-20 13:20:27,814 [Thread-3 (handle_client)] INFO: Connected by ('127.0.0.1', 40484)
2026-03-20 13:20:27,815 [Thread-4 (handle_client)] INFO: Connected by ('127.0.0.1', 40496)
2026-03-20 13:20:27,817 [Thread-5 (handle_client)] INFO: Connected by ('127.0.0.1', 40510)
2026-03-20 13:20:27,818 [Thread-6 (handle_client)] INFO: Connected by ('127.0.0.1', 40522)
2026-03-20 13:20:27,819 [Thread-6 (handle_client)] INFO: Close connection from ('127.0.0.1', 40522)
2026-03-20 13:20:27,819 [Thread-4 (handle_client)] INFO: Close connection from ('127.0.0.1', 40496)
2026-03-20 13:20:27,820 [Thread-5 (handle_client)] INFO: Close connection from ('127.0.0.1', 40510)
2026-03-20 13:20:27,820 [Thread-3 (handle_client)] INFO: Close connection from ('127.0.0.1', 40484)
2026-03-20 13:20:27,981 [Thread-7 (handle_client)] INFO: Connected by ('127.0.0.1', 40538)
2026-03-20 13:20:27,982 [Thread-7 (handle_client)] INFO: Close connection from ('127.0.0.1', 40538)
2026-03-20 13:20:27,981 [Thread-8 (handle_client)] INFO: Connected by ('127.0.0.1', 40546)
2026-03-20 13:20:27,983 [Thread-8 (handle_client)] INFO: Close connection from ('127.0.0.1', 40546)
2026-03-20 13:20:32,174 [Thread-9 (handle_client)] INFO: Connected by ('127.0.0.1', 43990)
2026-03-20 13:20:32,175 [Thread-9 (handle_client)] INFO: Close connection from ('127.0.0.1', 43990)
2026-03-20 13:20:36,726 [Thread-10 (handle_client)] INFO: Connected by ('127.0.0.1', 44006)
2026-03-20 13:20:36,726 [Thread-10 (handle_client)] INFO: Close connection from ('127.0.0.1', 44006)
2026-03-20 13:20:39,817 [Thread-11 (handle_client)] INFO: Connected by ('127.0.0.1', 44014)
2026-03-20 13:20:39,818 [Thread-11 (handle_client)] INFO: Close connection from ('127.0.0.1', 44014)
2026-03-20 13:20:39,898 [Thread-12 (handle_client)] INFO: Connected by ('127.0.0.1', 44026)
2026-03-20 13:20:39,898 [Thread-12 (handle_client)] INFO: Close connection from ('127.0.0.1', 44026)
2026-03-20 13:20:39,902 [Thread-13 (handle_client)] INFO: Connected by ('127.0.0.1', 44042)
2026-03-20 13:20:39,902 [Thread-14 (handle_client)] INFO: Connected by ('127.0.0.1', 44050)
2026-03-20 13:20:39,903 [Thread-15 (handle_client)] INFO: Connected by ('127.0.0.1', 44062)
2026-03-20 13:20:39,904 [Thread-16 (handle_client)] INFO: Connected by ('127.0.0.1', 44072)
2026-03-20 13:20:39,905 [Thread-15 (handle_client)] INFO: Close connection from ('127.0.0.1', 44062)
2026-03-20 13:20:39,906 [Thread-14 (handle_client)] INFO: Close connection from ('127.0.0.1', 44050)
2026-03-20 13:20:39,906 [Thread-16 (handle_client)] INFO: Close connection from ('127.0.0.1', 44072)
2026-03-20 13:20:39,906 [Thread-13 (handle_client)] INFO: Close connection from ('127.0.0.1', 44042)
2026-03-20 13:20:40,000 [Thread-17 (handle_client)] INFO: Connected by ('127.0.0.1', 44088)
2026-03-20 13:20:40,000 [Thread-18 (handle_client)] INFO: Connected by ('127.0.0.1', 44092)
2026-03-20 13:20:40,002 [Thread-18 (handle_client)] INFO: Close connection from ('127.0.0.1', 44092)
2026-03-20 13:20:40,002 [Thread-17 (handle_client)] INFO: Close connection from ('127.0.0.1', 44088)
